TimeofTask,Duration,Condition,Contrast
6.0000,6.000,WIN,1
12.0000,1.500,NULL,0
13.5000,6.000,WIN,1
19.5000,3.000,NULL,0
22.5000,6.000,LOSS,2
28.5000,1.500,NULL,0
30.0000,6.000,WIN,1
36.0000,4.000,NULL,0
40.0000,6.000,WIN,1
46.0000,1.500,NULL,0
47.5000,6.000,LOSS,2
53.5000,2.500,NULL,0
56.0000,6.000,WIN,1
62.0000,2.000,NULL,0
64.0000,6.000,LOSS,2
70.0000,2.500,NULL,0
72.5000,6.000,LOSS,2
78.5000,2.000,NULL,0
80.5000,6.000,LOSS,2
86.5000,2.000,NULL,0
88.5000,6.000,LOSS,2
94.5000,3.500,NULL,0
98.0000,6.000,LOSS,2
104.0000,2.500,NULL,0
106.5000,6.000,LOSS,2
112.5000,3.000,NULL,0
115.5000,6.000,WIN,1
121.5000,2.000,NULL,0
123.5000,6.000,LOSS,2
129.5000,1.500,NULL,0
131.0000,6.000,WIN,1
137.0000,2.000,NULL,0
139.0000,6.000,WIN,1
145.0000,2.000,NULL,0
147.0000,6.000,WIN,1
153.0000,2.000,NULL,0
155.0000,6.000,WIN,1
161.0000,2.000,NULL,0
163.0000,6.000,WIN,1
169.0000,2.000,NULL,0
171.0000,6.000,LOSS,2
177.0000,1.500,NULL,0
178.5000,6.000,LOSS,2
184.5000,2.000,NULL,0
186.5000,6.000,WIN,1
192.5000,2.000,NULL,0
194.5000,6.000,LOSS,2
200.5000,1.500,NULL,0
202.0000,6.000,LOSS,2
208.0000,1.500,NULL,0
209.5000,6.000,WIN,1
215.5000,4.500,NULL,0
