TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,3.500,NULL,0
15.5000,6.000,WIN,1
21.5000,2.000,NULL,0
23.5000,6.000,WIN,1
29.5000,1.500,NULL,0
31.0000,6.000,LOSS,2
37.0000,1.500,NULL,0
38.5000,6.000,LOSS,2
44.5000,2.500,NULL,0
47.0000,6.000,LOSS,2
53.0000,1.500,NULL,0
54.5000,6.000,LOSS,2
60.5000,3.000,NULL,0
63.5000,6.000,WIN,1
69.5000,3.000,NULL,0
72.5000,6.000,LOSS,2
78.5000,1.500,NULL,0
80.0000,6.000,WIN,1
86.0000,2.000,NULL,0
88.0000,6.000,LOSS,2
94.0000,1.500,NULL,0
95.5000,6.000,WIN,1
101.5000,2.000,NULL,0
103.5000,6.000,LOSS,2
109.5000,1.500,NULL,0
111.0000,6.000,LOSS,2
117.0000,2.500,NULL,0
119.5000,6.000,LOSS,2
125.5000,2.000,NULL,0
127.5000,6.000,WIN,1
133.5000,3.500,NULL,0
137.0000,6.000,LOSS,2
143.0000,3.000,NULL,0
146.0000,6.000,WIN,1
152.0000,1.500,NULL,0
153.5000,6.000,LOSS,2
159.5000,2.000,NULL,0
161.5000,6.000,WIN,1
167.5000,1.500,NULL,0
169.0000,6.000,WIN,1
175.0000,2.000,NULL,0
177.0000,6.000,WIN,1
183.0000,1.500,NULL,0
184.5000,6.000,LOSS,2
190.5000,1.500,NULL,0
192.0000,6.000,WIN,1
198.0000,3.000,NULL,0
201.0000,6.000,WIN,1
207.0000,1.500,NULL,0
208.5000,6.000,WIN,1
214.5000,10.500,NULL,0
