TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,1.500,NULL,0
13.5000,6.000,WIN,1
19.5000,1.500,NULL,0
21.0000,6.000,WIN,1
27.0000,4.000,NULL,0
31.0000,6.000,WIN,1
37.0000,3.500,NULL,0
40.5000,6.000,WIN,1
46.5000,1.500,NULL,0
48.0000,6.000,LOSS,2
54.0000,2.000,NULL,0
56.0000,6.000,WIN,1
62.0000,1.500,NULL,0
63.5000,6.000,WIN,1
69.5000,1.500,NULL,0
71.0000,6.000,LOSS,2
77.0000,3.500,NULL,0
80.5000,6.000,LOSS,2
86.5000,2.000,NULL,0
88.5000,6.000,LOSS,2
94.5000,2.000,NULL,0
96.5000,6.000,LOSS,2
102.5000,1.500,NULL,0
104.0000,6.000,WIN,1
110.0000,3.500,NULL,0
113.5000,6.000,LOSS,2
119.5000,2.000,NULL,0
121.5000,6.000,LOSS,2
127.5000,1.500,NULL,0
129.0000,6.000,LOSS,2
135.0000,2.500,NULL,0
137.5000,6.000,WIN,1
143.5000,3.000,NULL,0
146.5000,6.000,LOSS,2
152.5000,2.000,NULL,0
154.5000,6.000,WIN,1
160.5000,2.000,NULL,0
162.5000,6.000,LOSS,2
168.5000,1.500,NULL,0
170.0000,6.000,LOSS,2
176.0000,3.500,NULL,0
179.5000,6.000,WIN,1
185.5000,1.500,NULL,0
187.0000,6.000,WIN,1
193.0000,1.500,NULL,0
194.5000,6.000,LOSS,2
200.5000,3.500,NULL,0
204.0000,6.000,WIN,1
210.0000,3.500,NULL,0
213.5000,6.000,WIN,1
219.5000,5.500,NULL,0
